Todofuken,Area,Dan Chi Name,Total Fee,Nearest station by Walk,Best case by Walk (minute),Worst case by Walk (minute),Nearest station by Bus,Best case by Bus (minute),Worst case by Bus (minute),Address,Building Name,Building Structure,Floor,Room Num,Room Type,Floor Space,Max Floor,Rent,Common Fee,Shikikin,Systems,availableDate,Room Link,Traffic
tokyo,yaesu,神田小川町ハイツ,184900,都営新宿線｢小川町｣駅,2,2,,,,千代田区神田小川町1-7,,鉄骨鉄筋コンクリート造,9,904号室,1LDK,43,10,177800,7100,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3820_room.html?JKSS=000000904,都営新宿線｢小川町｣駅 徒歩2分<br>東京メトロ千代田線｢新御茶ノ水｣駅 徒歩2分<br>東京メトロ丸ノ内線｢淡路町｣駅 徒歩3分
tokyo,yaesu,神田小川町ハイツ,184900,東京メトロ千代田線｢新御茶ノ水｣駅,2,2,,,,千代田区神田小川町1-7,,鉄骨鉄筋コンクリート造,9,904号室,1LDK,43,10,177800,7100,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3820_room.html?JKSS=000000904,都営新宿線｢小川町｣駅 徒歩2分<br>東京メトロ千代田線｢新御茶ノ水｣駅 徒歩2分<br>東京メトロ丸ノ内線｢淡路町｣駅 徒歩3分
tokyo,yaesu,神田小川町ハイツ,184900,東京メトロ丸ノ内線｢淡路町｣駅,3,3,,,,千代田区神田小川町1-7,,鉄骨鉄筋コンクリート造,9,904号室,1LDK,43,10,177800,7100,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3820_room.html?JKSS=000000904,都営新宿線｢小川町｣駅 徒歩2分<br>東京メトロ千代田線｢新御茶ノ水｣駅 徒歩2分<br>東京メトロ丸ノ内線｢淡路町｣駅 徒歩3分
tokyo,kinshicho,立花一丁目,102100,東武亀戸線「東あずま」駅,3,7,,,,墨田区立花1-26ほか,4号棟,鉄筋コンクリート造,7,718号室,1LDK,48,14,99000,3100,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2550_room.html?JKSS=000040718,東武亀戸線「東あずま」駅 徒歩3～7分<br>JR総武線・東武亀戸線「亀戸」駅 徒歩17～19分<br>JR総武線・東武亀戸線「亀戸」駅バス3分 徒歩5～10分
tokyo,kinshicho,立花一丁目,102100,JR総武線・東武亀戸線「亀戸」駅,17,19,JR総武線・東武亀戸線「亀戸」駅,8.0,13.0,墨田区立花1-26ほか,4号棟,鉄筋コンクリート造,7,718号室,1LDK,48,14,99000,3100,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2550_room.html?JKSS=000040718,東武亀戸線「東あずま」駅 徒歩3～7分<br>JR総武線・東武亀戸線「亀戸」駅 徒歩17～19分<br>JR総武線・東武亀戸線「亀戸」駅バス3分 徒歩5～10分
tokyo,kinshicho,イーストコア曳舟二番館,193900,東武伊勢崎線・東武亀戸線「曳舟」駅,3,3,,,,墨田区京島1-1-2,,鉄筋コンクリート造一部鉄骨造,35,3505号室,1LDK,54,41,188000,5900,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_7080_room.html?JKSS=000003505,東武伊勢崎線・東武亀戸線「曳舟」駅 徒歩3分<br>京成押上線「京成曳舟」駅 徒歩3分
tokyo,kinshicho,イーストコア曳舟二番館,193900,京成押上線「京成曳舟」駅,3,3,,,,墨田区京島1-1-2,,鉄筋コンクリート造一部鉄骨造,35,3505号室,1LDK,54,41,188000,5900,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_7080_room.html?JKSS=000003505,東武伊勢崎線・東武亀戸線「曳舟」駅 徒歩3分<br>京成押上線「京成曳舟」駅 徒歩3分
tokyo,nishiojima,北砂五丁目,103500,都営新宿線「大島」駅,10.0,17.0,,,,江東区北砂5-20,5号棟,鉄筋コンクリート造,13,1309号室,1LDK,47,14,99800,3700,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2820_room.html?JKSS=000051309,都営新宿線「大島」駅 徒歩10～17分<br>JR総武線・東武亀戸線「亀戸」駅バス7～11分 徒歩1～7分<br>東京メトロ東西線「東陽町」駅バス9～11分 徒歩6～12分
tokyo,nishiojima,北砂五丁目,103500,,,,JR総武線・東武亀戸線「亀戸」駅,8.0,18.0,江東区北砂5-20,5号棟,鉄筋コンクリート造,13,1309号室,1LDK,47,14,99800,3700,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2820_room.html?JKSS=000051309,都営新宿線「大島」駅 徒歩10～17分<br>JR総武線・東武亀戸線「亀戸」駅バス7～11分 徒歩1～7分<br>東京メトロ東西線「東陽町」駅バス9～11分 徒歩6～12分
tokyo,nishiojima,北砂五丁目,103500,,,,東京メトロ東西線「東陽町」駅,15.0,23.0,江東区北砂5-20,5号棟,鉄筋コンクリート造,13,1309号室,1LDK,47,14,99800,3700,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2820_room.html?JKSS=000051309,都営新宿線「大島」駅 徒歩10～17分<br>JR総武線・東武亀戸線「亀戸」駅バス7～11分 徒歩1～7分<br>東京メトロ東西線「東陽町」駅バス9～11分 徒歩6～12分
