Todofuken,Area,Dan Chi Name,Total Fee,Nearest station by Walk,Best case by Walk (minute),Worst case by Walk (minute),Nearest station by Bus,Best case by Bus (minute),Worst case by Bus (minute),Address,Building Name,Building Structure,Floor,Elevator,Room Num,Room Type,Floor Space,Max Floor,Rent,Common Fee,Shikikin,Systems,availableDate,Room Link,Traffic
tokyo,harumi,ベイシティ晴海スカイリンクタワー,268600,都営大江戸線｢勝どき｣駅,5.0,5.0,,,,中央区晴海3-6-8,,鉄筋コンクリート造,37,N,3712号室,1K,60,49,263600,5000,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_7100_room.html?JKSS=000003712,<li>都営大江戸線｢勝どき｣駅 徒歩5分</li>
tokyo,harumi,ベイシティ晴海スカイリンクタワー,268600,,,,,,,中央区晴海3-6-8,,鉄筋コンクリート造,37,N,3712号室,1K,60,49,263600,5000,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_7100_room.html?JKSS=000003712,<li>都営大江戸線｢勝どき｣駅 徒歩5分</li>
tokyo,yaesu,ヴェッセル木場南,136800,東京メトロ東西線「木場」駅,14.0,19.0,,,,江東区塩浜2-18,9号棟,鉄筋コンクリート造,3,N,303号室,1LDK,54,10,132800,4000,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5820_room.html?JKSS=000090303,<li>東京メトロ東西線「木場」駅 徒歩14～19分</li><li>JR京葉線「潮見」駅 徒歩15～20分</li><li>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス19分 徒歩4～9分</li>
tokyo,yaesu,ヴェッセル木場南,136800,JR京葉線「潮見」駅,15.0,20.0,,,,江東区塩浜2-18,9号棟,鉄筋コンクリート造,3,N,303号室,1LDK,54,10,132800,4000,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5820_room.html?JKSS=000090303,<li>東京メトロ東西線「木場」駅 徒歩14～19分</li><li>JR京葉線「潮見」駅 徒歩15～20分</li><li>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス19分 徒歩4～9分</li>
tokyo,yaesu,ヴェッセル木場南,136800,,,,JR総武線・東京メトロ半蔵門線「錦糸町」駅,23.0,28.0,江東区塩浜2-18,9号棟,鉄筋コンクリート造,3,N,303号室,1LDK,54,10,132800,4000,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5820_room.html?JKSS=000090303,<li>東京メトロ東西線「木場」駅 徒歩14～19分</li><li>JR京葉線「潮見」駅 徒歩15～20分</li><li>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス19分 徒歩4～9分</li>
tokyo,yaesu,ヴェッセル木場南,136800,,,,,,,江東区塩浜2-18,9号棟,鉄筋コンクリート造,3,N,303号室,1LDK,54,10,132800,4000,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5820_room.html?JKSS=000090303,<li>東京メトロ東西線「木場」駅 徒歩14～19分</li><li>JR京葉線「潮見」駅 徒歩15～20分</li><li>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス19分 徒歩4～9分</li>
tokyo,yaesu,ラ・ヴェール東陽町,176800,東京メトロ東西線「東陽町」駅,10.0,10.0,,,,江東区塩浜2-24-10,,鉄筋コンクリート造,1,N,103号室,2LDK,70,12,171300,5500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6610_room.html?JKSS=000000103,<li>東京メトロ東西線「東陽町」駅 徒歩10分</li><li>JR京葉線「潮見」駅 徒歩22分</li><li>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス19分 徒歩5分</li>
tokyo,yaesu,ラ・ヴェール東陽町,176800,JR京葉線「潮見」駅,22.0,22.0,,,,江東区塩浜2-24-10,,鉄筋コンクリート造,1,N,103号室,2LDK,70,12,171300,5500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6610_room.html?JKSS=000000103,<li>東京メトロ東西線「東陽町」駅 徒歩10分</li><li>JR京葉線「潮見」駅 徒歩22分</li><li>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス19分 徒歩5分</li>
tokyo,yaesu,ラ・ヴェール東陽町,176800,,,,JR総武線・東京メトロ半蔵門線「錦糸町」駅,24.0,24.0,江東区塩浜2-24-10,,鉄筋コンクリート造,1,N,103号室,2LDK,70,12,171300,5500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6610_room.html?JKSS=000000103,<li>東京メトロ東西線「東陽町」駅 徒歩10分</li><li>JR京葉線「潮見」駅 徒歩22分</li><li>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス19分 徒歩5分</li>
tokyo,yaesu,ラ・ヴェール東陽町,176800,,,,,,,江東区塩浜2-24-10,,鉄筋コンクリート造,1,N,103号室,2LDK,70,12,171300,5500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6610_room.html?JKSS=000000103,<li>東京メトロ東西線「東陽町」駅 徒歩10分</li><li>JR京葉線「潮見」駅 徒歩22分</li><li>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス19分 徒歩5分</li>
tokyo,yaesu,ラ・ヴェール東陽町,186000,東京メトロ東西線「東陽町」駅,10.0,10.0,,,,江東区塩浜2-24-10,,鉄筋コンクリート造,6,N,621号室,2LDK,73,12,180500,5500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6610_room.html?JKSS=000000621,<li>東京メトロ東西線「東陽町」駅 徒歩10分</li><li>JR京葉線「潮見」駅 徒歩22分</li><li>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス19分 徒歩5分</li>
tokyo,yaesu,ラ・ヴェール東陽町,186000,JR京葉線「潮見」駅,22.0,22.0,,,,江東区塩浜2-24-10,,鉄筋コンクリート造,6,N,621号室,2LDK,73,12,180500,5500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6610_room.html?JKSS=000000621,<li>東京メトロ東西線「東陽町」駅 徒歩10分</li><li>JR京葉線「潮見」駅 徒歩22分</li><li>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス19分 徒歩5分</li>
tokyo,yaesu,ラ・ヴェール東陽町,186000,,,,JR総武線・東京メトロ半蔵門線「錦糸町」駅,24.0,24.0,江東区塩浜2-24-10,,鉄筋コンクリート造,6,N,621号室,2LDK,73,12,180500,5500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6610_room.html?JKSS=000000621,<li>東京メトロ東西線「東陽町」駅 徒歩10分</li><li>JR京葉線「潮見」駅 徒歩22分</li><li>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス19分 徒歩5分</li>
tokyo,yaesu,ラ・ヴェール東陽町,186000,,,,,,,江東区塩浜2-24-10,,鉄筋コンクリート造,6,N,621号室,2LDK,73,12,180500,5500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6610_room.html?JKSS=000000621,<li>東京メトロ東西線「東陽町」駅 徒歩10分</li><li>JR京葉線「潮見」駅 徒歩22分</li><li>JR総武線・東京メトロ半蔵門線「錦糸町」駅バス19分 徒歩5分</li>
tokyo,kitasenju,花畑,73600,,,,東武伊勢崎線「竹ノ塚」駅,11.0,23.0,足立区花畑5,29号棟,鉄筋コンクリート造,4,N,406号室,2DK,43,5,69100,4500,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1170_room.html?JKSS=000029406,<li>東武伊勢崎線「竹ノ塚」駅バス9～15分 徒歩2～8分</li><li>東武伊勢崎線「谷塚」駅 徒歩17～24分</li>
tokyo,kitasenju,花畑,73600,東武伊勢崎線「谷塚」駅,17.0,24.0,,,,足立区花畑5,29号棟,鉄筋コンクリート造,4,N,406号室,2DK,43,5,69100,4500,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1170_room.html?JKSS=000029406,<li>東武伊勢崎線「竹ノ塚」駅バス9～15分 徒歩2～8分</li><li>東武伊勢崎線「谷塚」駅 徒歩17～24分</li>
tokyo,kitasenju,花畑,73600,,,,,,,足立区花畑5,29号棟,鉄筋コンクリート造,4,N,406号室,2DK,43,5,69100,4500,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1170_room.html?JKSS=000029406,<li>東武伊勢崎線「竹ノ塚」駅バス9～15分 徒歩2～8分</li><li>東武伊勢崎線「谷塚」駅 徒歩17～24分</li>
tokyo,kitasenju,フレール西新井中央公園,126700,日暮里舎人ライナー「谷在家」駅,12.0,14.0,,,,足立区西新井3-16ほか,3号棟,鉄筋コンクリート造,8,N,803号室,1LDK,50,8,121600,5100,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_7050_room.html?JKSS=000030803,<li>日暮里舎人ライナー「谷在家」駅 徒歩12～14分</li><li>東武大師線「大師前」駅 徒歩16～18分</li>
