Todofuken,Area,Dan Chi Name,Total Fee,Nearest station by Walk,Best case by Walk (minute),Worst case by Walk (minute),Nearest station by Bus,Best case by Bus (minute),Worst case by Bus (minute),Address,Building Name,Building Structure,Floor,Elevator,Room Num,Room Type,Floor Space,Max Floor,Rent,Common Fee,Shikikin,Systems,availableDate,Room Link,Traffic
tokyo,harumi,晴海アイランド トリトンスクエアアーバンタワー,190900,都営大江戸線｢勝どき｣駅,10.0,10.0,,,,中央区晴海1-8-5,5号棟,鉄筋コンクリート造,10,N,1002号室,1K,45,28,184400,6500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6410_room.html?JKSS=000051002,<li>都営大江戸線｢勝どき｣駅 徒歩10分</li><li>東京メトロ有楽町線｢月島｣駅 徒歩10分</li><li>都営大江戸線「月島」駅 徒歩10分</li>
tokyo,harumi,晴海アイランド トリトンスクエアアーバンタワー,190900,東京メトロ有楽町線｢月島｣駅,10.0,10.0,,,,中央区晴海1-8-5,5号棟,鉄筋コンクリート造,10,N,1002号室,1K,45,28,184400,6500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6410_room.html?JKSS=000051002,<li>都営大江戸線｢勝どき｣駅 徒歩10分</li><li>東京メトロ有楽町線｢月島｣駅 徒歩10分</li><li>都営大江戸線「月島」駅 徒歩10分</li>
tokyo,harumi,晴海アイランド トリトンスクエアアーバンタワー,190900,都営大江戸線「月島」駅,10.0,10.0,,,,中央区晴海1-8-5,5号棟,鉄筋コンクリート造,10,N,1002号室,1K,45,28,184400,6500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6410_room.html?JKSS=000051002,<li>都営大江戸線｢勝どき｣駅 徒歩10分</li><li>東京メトロ有楽町線｢月島｣駅 徒歩10分</li><li>都営大江戸線「月島」駅 徒歩10分</li>
tokyo,harumi,晴海アイランド トリトンスクエアアーバンタワー,190900,,,,,,,中央区晴海1-8-5,5号棟,鉄筋コンクリート造,10,N,1002号室,1K,45,28,184400,6500,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6410_room.html?JKSS=000051002,<li>都営大江戸線｢勝どき｣駅 徒歩10分</li><li>東京メトロ有楽町線｢月島｣駅 徒歩10分</li><li>都営大江戸線「月島」駅 徒歩10分</li>
tokyo,ebisu,デュプレ芝浦,114800,JR山手線ほか｢田町｣駅,13.0,13.0,,,,港区芝浦4-7-5,,鉄骨鉄筋コンクリート造,7,N,706号室,1K,33,14,111200,3600,2か月,[],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4920_room.html?JKSS=000000706,<li>JR山手線ほか｢田町｣駅 徒歩13分</li><li>京急本線「泉岳寺」駅から徒歩11分</li>
tokyo,ebisu,デュプレ芝浦,114800,京急本線「泉岳寺」駅から,11.0,11.0,,,,港区芝浦4-7-5,,鉄骨鉄筋コンクリート造,7,N,706号室,1K,33,14,111200,3600,2か月,[],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4920_room.html?JKSS=000000706,<li>JR山手線ほか｢田町｣駅 徒歩13分</li><li>京急本線「泉岳寺」駅から徒歩11分</li>
tokyo,ebisu,デュプレ芝浦,114800,,,,,,,港区芝浦4-7-5,,鉄骨鉄筋コンクリート造,7,N,706号室,1K,33,14,111200,3600,2か月,[],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4920_room.html?JKSS=000000706,<li>JR山手線ほか｢田町｣駅 徒歩13分</li><li>京急本線「泉岳寺」駅から徒歩11分</li>
tokyo,ebisu,コラム南青山,212500,東京メトロ銀座線ほか｢表参道｣駅,10.0,10.0,,,,港区南青山7-1-5,,鉄骨鉄筋コンクリート造,5,N,504号室,1K,46,10,205500,7000,2か月,[],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4150_room.html?JKSS=000000504,<li>東京メトロ銀座線ほか｢表参道｣駅 徒歩10分</li><li>JR山手線ほか｢渋谷｣駅 徒歩13分</li>
tokyo,ebisu,コラム南青山,212500,JR山手線ほか｢渋谷｣駅,13.0,13.0,,,,港区南青山7-1-5,,鉄骨鉄筋コンクリート造,5,N,504号室,1K,46,10,205500,7000,2か月,[],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4150_room.html?JKSS=000000504,<li>東京メトロ銀座線ほか｢表参道｣駅 徒歩10分</li><li>JR山手線ほか｢渋谷｣駅 徒歩13分</li>
tokyo,ebisu,コラム南青山,212500,,,,,,,港区南青山7-1-5,,鉄骨鉄筋コンクリート造,5,N,504号室,1K,46,10,205500,7000,2か月,[],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_4150_room.html?JKSS=000000504,<li>東京メトロ銀座線ほか｢表参道｣駅 徒歩10分</li><li>JR山手線ほか｢渋谷｣駅 徒歩13分</li>
