Todofuken,Area,Dan Chi Name,Total Fee,Nearest station by Walk,Best case by Walk (minute),Worst case by Walk (minute),Nearest station by Bus,Best case by Bus (minute),Worst case by Bus (minute),Address,Building Name,Building Structure,Floor,Room Num,Room Type,Floor Space,Max Floor,Rent,Common Fee,Shikikin,Systems,availableDate,Room Link,Traffic
tokyo,yaesu,神田小川町ハイツ,184900,都営新宿線｢小川町｣駅,2,2,,,,千代田区神田小川町1-7,,鉄骨鉄筋コンクリート造,9,904号室,1LDK,43,10,177800,7100,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3820_room.html?JKSS=000000904,都営新宿線｢小川町｣駅 徒歩2分<br>東京メトロ千代田線｢新御茶ノ水｣駅 徒歩2分<br>東京メトロ丸ノ内線｢淡路町｣駅 徒歩3分
tokyo,yaesu,神田小川町ハイツ,184900,東京メトロ千代田線｢新御茶ノ水｣駅,2,2,,,,千代田区神田小川町1-7,,鉄骨鉄筋コンクリート造,9,904号室,1LDK,43,10,177800,7100,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3820_room.html?JKSS=000000904,都営新宿線｢小川町｣駅 徒歩2分<br>東京メトロ千代田線｢新御茶ノ水｣駅 徒歩2分<br>東京メトロ丸ノ内線｢淡路町｣駅 徒歩3分
tokyo,yaesu,神田小川町ハイツ,184900,東京メトロ丸ノ内線｢淡路町｣駅,3,3,,,,千代田区神田小川町1-7,,鉄骨鉄筋コンクリート造,9,904号室,1LDK,43,10,177800,7100,2か月,['近居割'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_3820_room.html?JKSS=000000904,都営新宿線｢小川町｣駅 徒歩2分<br>東京メトロ千代田線｢新御茶ノ水｣駅 徒歩2分<br>東京メトロ丸ノ内線｢淡路町｣駅 徒歩3分
tokyo,kinshicho,立花一丁目,92100,東武亀戸線「東あずま」駅,3,7,,,,墨田区立花1-26ほか,3号棟,鉄筋コンクリート造,4,413号室,2DK,53,14,89000,3100,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2550_room.html?JKSS=000030413,東武亀戸線「東あずま」駅 徒歩3～7分<br>JR総武線・東武亀戸線「亀戸」駅 徒歩17～19分<br>JR総武線・東武亀戸線「亀戸」駅バス3分 徒歩5～10分
tokyo,kinshicho,立花一丁目,92100,JR総武線・東武亀戸線「亀戸」駅,17,19,JR総武線・東武亀戸線「亀戸」駅,8.0,13.0,墨田区立花1-26ほか,3号棟,鉄筋コンクリート造,4,413号室,2DK,53,14,89000,3100,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2550_room.html?JKSS=000030413,東武亀戸線「東あずま」駅 徒歩3～7分<br>JR総武線・東武亀戸線「亀戸」駅 徒歩17～19分<br>JR総武線・東武亀戸線「亀戸」駅バス3分 徒歩5～10分
tokyo,kinshicho,立花一丁目,98800,東武亀戸線「東あずま」駅,3,7,,,,墨田区立花1-26ほか,2号棟,鉄筋コンクリート造,13,1321号室,2DK,48,14,95700,3100,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2550_room.html?JKSS=000021321,東武亀戸線「東あずま」駅 徒歩3～7分<br>JR総武線・東武亀戸線「亀戸」駅 徒歩17～19分<br>JR総武線・東武亀戸線「亀戸」駅バス3分 徒歩5～10分
tokyo,kinshicho,立花一丁目,98800,JR総武線・東武亀戸線「亀戸」駅,17,19,JR総武線・東武亀戸線「亀戸」駅,8.0,13.0,墨田区立花1-26ほか,2号棟,鉄筋コンクリート造,13,1321号室,2DK,48,14,95700,3100,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2550_room.html?JKSS=000021321,東武亀戸線「東あずま」駅 徒歩3～7分<br>JR総武線・東武亀戸線「亀戸」駅 徒歩17～19分<br>JR総武線・東武亀戸線「亀戸」駅バス3分 徒歩5～10分
tokyo,kitasenju,花畑,63300,,,,東武伊勢崎線「竹ノ塚」駅,11.0,23.0,足立区花畑5,66号棟,鉄筋コンクリート造,3,303号室,2DK,37,5,59600,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1170_room.html?JKSS=000066303,東武伊勢崎線「竹ノ塚」駅バス9～15分 徒歩2～8分<br>東武伊勢崎線「谷塚」駅 徒歩17～24分
tokyo,kitasenju,花畑,63300,東武伊勢崎線「谷塚」駅,17.0,24.0,,,,足立区花畑5,66号棟,鉄筋コンクリート造,3,303号室,2DK,37,5,59600,3700,2か月,"['近居割', '近居割WIDE']",随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1170_room.html?JKSS=000066303,東武伊勢崎線「竹ノ塚」駅バス9～15分 徒歩2～8分<br>東武伊勢崎線「谷塚」駅 徒歩17～24分
tokyo,kitasenju,花畑,68900,,,,東武伊勢崎線「竹ノ塚」駅,11.0,23.0,足立区花畑5,48号棟,鉄筋コンクリート造,2,204号室,3K,43,5,65200,3700,2か月,['健康寿命サポート'],随時,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1170_room.html?JKSS=000048204,東武伊勢崎線「竹ノ塚」駅バス9～15分 徒歩2～8分<br>東武伊勢崎線「谷塚」駅 徒歩17～24分
